season,teamId,abbr,cityState,fullName,nick,conferenceAbbr,divisionAbbr
2018,3700,PHI,Philadelphia,Philadelphia Eagles,Eagles,NFC,NCE
2018,3800,ARI,Arizona,Arizona Cardinals,Cardinals,NFC,NCW
2018,3900,PIT,Pittsburgh,Pittsburgh Steelers,Steelers,AFC,ACN
2018,4400,LAC,Los Angeles Chargers,Los Angeles Chargers,Chargers,AFC,ACW
2018,4500,SF,San Francisco,San Francisco 49ers,49ers,NFC,NCW
2018,4600,SEA,Seattle,Seattle Seahawks,Seahawks,NFC,NCW
2018,4900,TB,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,NFC,NCS
2018,5110,WAS,Washington,Washington Redskins,Redskins,NFC,NCE
2019,200,ATL,Atlanta,Atlanta Falcons,Falcons,NFC,NCS
2019,325,BAL,Baltimore,Baltimore Ravens,Ravens,AFC,ACN
2019,610,BUF,Buffalo,Buffalo Bills,Bills,AFC,ACE
2019,750,CAR,Carolina,Carolina Panthers,Panthers,NFC,NCS
2019,810,CHI,Chicago,Chicago Bears,Bears,NFC,NCN
2019,920,CIN,Cincinnati,Cincinnati Bengals,Bengals,AFC,ACN
2019,1050,CLE,Cleveland,Cleveland Browns,Browns,AFC,ACN
2019,1200,DAL,Dallas,Dallas Cowboys,Cowboys,NFC,NCE
2019,1400,DEN,Denver,Denver Broncos,Broncos,AFC,ACW
2019,1540,DET,Detroit,Detroit Lions,Lions,NFC,NCN
2019,1800,GB,Green Bay,Green Bay Packers,Packers,NFC,NCN
2019,2100,TEN,Tennessee,Tennessee Titans,Titans,AFC,ACS
2019,2120,HOU,Houston,Houston Texans,Texans,AFC,ACS
2019,2200,IND,Indianapolis,Indianapolis Colts,Colts,AFC,ACS
2019,2250,JAX,Jacksonville,Jacksonville Jaguars,Jaguars,AFC,ACS
2019,2310,KC,Kansas City,Kansas City Chiefs,Chiefs,AFC,ACW
2019,2510,LA,Los Angeles Rams,Los Angeles Rams,Rams,NFC,NCW
2019,2520,OAK,Oakland,Oakland Raiders,Raiders,AFC,ACW
2019,2700,MIA,Miami,Miami Dolphins,Dolphins,AFC,ACE
2019,3000,MIN,Minnesota,Minnesota Vikings,Vikings,NFC,NCN
2019,3200,NE,New England,New England Patriots,Patriots,AFC,ACE
2019,3300,NO,New Orleans,New Orleans Saints,Saints,NFC,NCS
2019,3410,NYG,New York Giants,New York Giants,Giants,NFC,NCE
2019,3430,NYJ,New York Jets,New York Jets,Jets,AFC,ACE
2019,3700,PHI,Philadelphia,Philadelphia Eagles,Eagles,NFC,NCE
2019,3800,ARI,Arizona,Arizona Cardinals,Cardinals,NFC,NCW
2019,3900,PIT,Pittsburgh,Pittsburgh Steelers,Steelers,AFC,ACN
